Fold,AUC,pAUC,PR-AUC,F1,Accuracy,TNR,FPR,TPR,thresholds
0,0.999362409607438,0.014051200929752067,0.9994441466085193,0.9928469241773963,0.9928977272727273,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005681818181818182, 0.005681818181818182, 0.014204545454545454, 0.014204545454545454, 0.1846590909090909, 0.1846590909090909, 1.0]","[0.0, 0.002840909090909091, 0.048295454545454544, 0.056818181818181816, 0.07386363636363637, 0.07954545454545454, 0.08806818181818182, 0.09943181818181818, 0.10795454545454546, 0.11363636363636363, 0.1278409090909091, 0.13920454545454544, 0.14772727272727273, 0.1534090909090909, 0.25, 0.2556818181818182, 0.9857954545454546, 0.9857954545454546, 0.9914772727272727, 0.9914772727272727, 0.9971590909090909, 0.9971590909090909, 1.0, 1.0]","[1.9999966599999999, 0.99999666, 0.9999852, 0.99998474, 0.99998033, 0.9999796, 0.999977, 0.9999752, 0.9999734, 0.99997306, 0.99997044, 0.99996936, 0.99996734, 0.999967, 0.99992967, 0.99992776, 0.54710406, 0.2884694, 0.24730694, 0.17181613, 0.13815628, 0.007854377, 0.007701701, 9.234111e-06]"
1,0.9996852401859505,0.013889785640495868,0.9996804675996669,0.9929078014184397,0.9928977272727273,0.9914772727272727,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002840909090909091, 0.002840909090909091, 0.005681818181818182, 0.005681818181818182, 0.008522727272727272, 0.008522727272727272, 0.014204545454545454, 0.014204545454545454, 1.0]","[0.0, 0.002840909090909091, 0.20170454545454544, 0.20738636363636365, 0.9403409090909091, 0.9403409090909091, 0.96875, 0.96875, 0.9857954545454546, 0.9857954545454546, 0.9971590909090909, 0.9971590909090909, 1.0, 1.0]","[1.9999523, 0.9999523, 0.9995982, 0.9995925, 0.9241027, 0.9238201, 0.8774777, 0.8721468, 0.7815349, 0.7143102, 0.45611668, 0.40839392, 0.27114317, 2.5908215e-05]"
2,0.9999677169421488,0.0028086260330578514,0.9999676245734421,0.9971671388101983,0.9971590909090909,0.9943181818181818,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002840909090909091, 0.002840909090909091, 1.0]","[0.0, 0.002840909090909091, 0.09943181818181818, 0.10511363636363637, 0.3380681818181818, 0.34375, 0.38920454545454547, 0.39488636363636365, 0.42329545454545453, 0.4289772727272727, 0.4375, 0.4431818181818182, 0.9886363636363636, 0.9886363636363636, 1.0, 1.0]","[1.99999046, 0.99999046, 0.9999596, 0.9999584, 0.9998374, 0.99983525, 0.9997974, 0.9997781, 0.999749, 0.99974626, 0.9997309, 0.99973065, 0.855313, 0.8412771, 0.64218813, 7.125498e-06]"
3,0.9997578770661157,0.045212422520661155,0.9997636165827308,0.9914285714285714,0.9914772727272727,0.9971590909090909,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008522727272727272, 0.008522727272727272, 0.014204545454545454, 0.014204545454545454, 0.045454545454545456, 0.045454545454545456, 1.0]","[0.0, 0.002840909090909091, 0.04261363636363636, 0.048295454545454544, 0.09943181818181818, 0.10511363636363637, 0.15625, 0.16193181818181818, 0.24431818181818182, 0.25, 0.45454545454545453, 0.4602272727272727, 0.9857954545454546, 0.9857954545454546, 0.9943181818181818, 0.9943181818181818, 0.9971590909090909, 0.9971590909090909, 1.0, 1.0]","[1.9999901, 0.9999901, 0.9999634, 0.99996316, 0.99994147, 0.99994063, 0.99991345, 0.99991333, 0.9998517, 0.9998492, 0.99947757, 0.9994747, 0.5191992, 0.47323343, 0.27492145, 0.25231352, 0.23757932, 0.07251581, 0.06607571, 1.0599483e-05]"
4,0.999967624967625,0.008514633514633515,0.9999678761471074,0.995732574679943,0.9957325746799431,0.9971509971509972,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002849002849002849, 0.002849002849002849, 0.008547008547008548, 0.008547008547008548, 1.0]","[0.0, 0.002840909090909091, 0.008522727272727272, 0.03409090909090909, 0.03977272727272727, 0.048295454545454544, 0.05397727272727273, 0.05965909090909091, 0.10227272727272728, 0.10795454545454546, 0.13068181818181818, 0.13636363636363635, 0.1534090909090909, 0.1590909090909091, 0.25, 0.2556818181818182, 0.29261363636363635, 0.29829545454545453, 0.3181818181818182, 0.32386363636363635, 0.5284090909090909, 0.5340909090909091, 0.9943181818181818, 0.9943181818181818, 0.9971590909090909, 0.9971590909090909, 1.0, 1.0]","[1.9999943999999998, 0.9999944, 0.9999924, 0.99998057, 0.99998045, 0.99998033, 0.99998, 0.99997985, 0.99996936, 0.99996865, 0.9999603, 0.9999602, 0.99995637, 0.999956, 0.9999281, 0.99992764, 0.9999107, 0.9999069, 0.9999018, 0.9999007, 0.999617, 0.99961346, 0.5070871, 0.50251865, 0.49535844, 0.38601527, 0.38540316, 7.040369e-06]"
5,0.9999514374514374,0.017045454545454548,0.9999523203136003,0.9985775248933144,0.9985775248933144,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017094017094017096, 0.017094017094017096, 1.0]","[0.0, 0.002840909090909091, 0.022727272727272728, 0.03409090909090909, 0.18181818181818182, 0.1875, 0.3153409090909091, 0.3210227272727273, 0.3494318181818182, 0.35511363636363635, 0.5113636363636364, 0.5170454545454546, 0.9971590909090909, 0.9971590909090909, 1.0, 1.0]","[1.99999166, 0.99999166, 0.99998736, 0.999987, 0.9999529, 0.9999522, 0.9998872, 0.999887, 0.99985766, 0.9998572, 0.99969304, 0.9996903, 0.51856023, 0.21874799, 0.19138996, 5.1047973e-06]"
6,0.9999028749028749,0.014147889147889147,0.9999039220205039,0.9943019943019943,0.9943100995732574,0.9971509971509972,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008547008547008548, 0.008547008547008548, 0.011396011396011397, 0.011396011396011397, 0.014245014245014245, 0.014245014245014245, 1.0]","[0.0, 0.002840909090909091, 0.03977272727272727, 0.045454545454545456, 0.06534090909090909, 0.07102272727272728, 0.08238636363636363, 0.08806818181818182, 0.15056818181818182, 0.15625, 0.18181818181818182, 0.1875, 0.20170454545454544, 0.20738636363636365, 0.3522727272727273, 0.35795454545454547, 0.3778409090909091, 0.3835227272727273, 0.4119318181818182, 0.41761363636363635, 0.5113636363636364, 0.5170454545454546, 0.9914772727272727, 0.9914772727272727, 0.9943181818181818, 0.9943181818181818, 0.9971590909090909, 0.9971590909090909, 1.0, 1.0]","[1.9999926000000001, 0.9999926, 0.9999827, 0.9999814, 0.9999733, 0.99997306, 0.9999713, 0.9999709, 0.99995434, 0.9999534, 0.99994564, 0.99994516, 0.99994123, 0.9999399, 0.99985933, 0.9998555, 0.9998424, 0.9998418, 0.99981207, 0.999793, 0.9996499, 0.99964905, 0.57114965, 0.48342437, 0.4612222, 0.44438446, 0.4021784, 0.25927937, 0.20608121, 7.825017e-06]"
7,0.9999595312095313,0.014164076664076665,0.9999599295571759,0.9957081545064378,0.9957325746799431,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014204545454545454, 0.014204545454545454, 1.0]","[0.0, 0.002849002849002849, 0.04843304843304843, 0.05413105413105413, 0.43874643874643876, 0.4444444444444444, 0.9971509971509972, 0.9971509971509972, 1.0, 1.0]","[1.9999459000000002, 0.9999459, 0.9998603, 0.99986017, 0.99898106, 0.9989737, 0.327089, 0.15354176, 0.15051568, 1.847514e-05]"
8,0.9999595312095312,0.005641349391349391,0.9999593802687052,0.9971509971509972,0.9971550497866287,0.9971590909090909,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002840909090909091, 0.002840909090909091, 0.005681818181818182, 0.005681818181818182, 1.0]","[0.0, 0.002849002849002849, 0.1225071225071225, 0.1282051282051282, 0.9886039886039886, 0.9886039886039886, 0.9971509971509972, 0.9971509971509972, 1.0, 1.0]","[1.9999774700000001, 0.99997747, 0.9998982, 0.99989676, 0.7454332, 0.66557014, 0.5467045, 0.45776471, 0.34360895, 2.2472483e-05]"
9,0.9994819994819996,0.07618654493654495,0.9994924413207577,0.9899856938483547,0.9900426742532006,0.9943181818181818,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002840909090909091, 0.002840909090909091, 0.005681818181818182, 0.005681818181818182, 0.011363636363636364, 0.011363636363636364, 0.022727272727272728, 0.022727272727272728, 0.07670454545454546, 0.07670454545454546, 1.0]","[0.0, 0.002849002849002849, 0.039886039886039885, 0.045584045584045586, 0.06552706552706553, 0.07692307692307693, 0.09686609686609686, 0.10541310541310542, 0.1623931623931624, 0.16809116809116809, 0.17094017094017094, 0.17663817663817663, 0.1794871794871795, 0.18518518518518517, 0.19658119658119658, 0.2022792022792023, 0.22507122507122507, 0.23076923076923078, 0.9458689458689459, 0.9458689458689459, 0.9658119658119658, 0.9658119658119658, 0.9914529914529915, 0.9914529914529915, 0.9943019943019943, 0.9943019943019943, 0.9971509971509972, 0.9971509971509972, 1.0, 1.0]","[1.9999988, 0.9999988, 0.9999943, 0.99999416, 0.9999927, 0.99999213, 0.99999046, 0.99999034, 0.9999821, 0.9999815, 0.9999814, 0.99998116, 0.9999807, 0.9999802, 0.9999763, 0.99997616, 0.9999697, 0.9999695, 0.9214248, 0.91948736, 0.8280273, 0.7917904, 0.47531596, 0.24279961, 0.19409238, 0.12720609, 0.12547582, 0.03227401, 0.029089015, 1.9580782e-06]"
