<<<<<<< HEAD

miRNA ID,mRNA_ID_with_sRNA,mRNA_ID_with_RBP,RBP,Seed_match_A
hsa-miR-92a-3p,ENSG00000162688|ENST00000361302,ENSG00000130723|ENST00000320547,RBP-1,a
hsa-miR-500a-5p,ENSG00000162694|ENST00000535414,ENSG00000280706|ENST00000628678,RBP-2,d
hsa-miR-181a-5p,ENSG00000121940|ENST00000674992,ENSG00000177189|ENST00000379565,RBP-3,f
hsa-miR-92a-3p,ENSG00000085433|ENST00000400794,ENSG00000177189|ENST00000379565,RBP-4,g
=======
<<<<<<< HEAD
miRNA ID,mRNA_ID_with_sRNA,mRNA_ID_with_RBP,RBP,Seed_match_A
hsa-miR-92a-3p,ENSG00000162688|ENST00000361302,ENSG00000130723|ENST00000320547,RBP-1,a
hsa-miR-500a-5p,ENSG00000162694|ENST00000535414,ENSG00000280706|ENST00000628678,RBP-2,d
hsa-miR-181a-5p,ENSG00000121940|ENST00000674992,ENSG00000177189|ENST00000379565,RBP-3,f
hsa-miR-92a-3p,ENSG00000085433|ENST00000400794,ENSG00000177189|ENST00000379565,RBP-4,g
=======
miRNA ID,mRNA_ID_with_sRNA,mRNA_ID_with_RBP,RBP,Seed_match_A
miR-1,mRNA_sRNA_1,mRNA_RBP_1,RBP_1,value1
miR-2,mRNA_sRNA_2,mRNA_RBP_2,RBP_2,value2
miR-3,mRNA_sRNA_3,mRNA_RBP_3,RBP_3,value3
miR-4,mRNA_sRNA_4,mRNA_RBP_4,RBP_4,value4
>>>>>>> 7a6a684 (start debugging by running main, create fake dfs and update data handlers)
>>>>>>> 917594e (start debugging by running main, create fake dfs and update data handlers)
